DATE,CAD1MTD156N,CAD2MTD156N,CAD3MTD156N,CAD4MTD156N,CAD5MTD156N,CAD6MTD156N,CAD7MTD156N,CAD8MTD156N,CAD9MTD156N,CAD10MD156N,CAD11MD156N,CAD12MD156N
2004-05-17,2.11333,2.11667,2.125,2.155,2.18333,2.22333,2.26333,2.30833,2.35667,2.39833,2.44667,2.495
2004-05-18,2.105,2.115,2.12,2.15333,2.18333,2.215,2.26,2.30833,2.35833,2.4,2.44667,2.49167
2004-05-19,2.10167,2.11167,2.12833,2.16,2.19167,2.23,2.28,2.33333,2.38667,2.43667,2.48167,2.53667
2004-05-20,2.10167,2.11167,2.12667,2.16167,2.19667,2.24,2.29333,2.34333,2.395,2.45167,2.50167,2.55667
2004-05-21,2.095,2.10833,2.12,2.15167,2.185,2.22,2.27,2.32,2.37333,2.42667,2.47833,2.53167
2004-05-24,2.09833,2.11167,2.12333,2.15667,2.19,2.22333,2.27167,2.32333,2.37667,2.43667,2.49167,2.55167
2004-05-25,2.095,2.11167,2.125,2.15833,2.19167,2.22167,2.27,2.32167,2.37167,2.43167,2.48833,2.54667
2004-05-26,2.09167,2.11167,2.13167,2.16833,2.21167,2.25833,2.31,2.36667,2.42,2.48,2.54,2.59833
2004-05-27,2.09,2.10833,2.12833,2.165,2.20667,2.25,2.305,2.35667,2.41,2.46667,2.525,2.58667
2004-05-28,2.09167,2.11,2.125,2.16,2.19333,2.23,2.27333,2.32667,2.37833,2.43333,2.49,2.54833
2004-06-01,2.08333,2.10167,2.12167,2.15833,2.20333,2.245,2.29333,2.34167,2.39667,2.45667,2.51667,2.57667
2004-06-02,2.07,2.09833,2.12167,2.16333,2.21167,2.26167,2.32,2.375,2.43167,2.48833,2.54833,2.61
2004-06-03,2.06667,2.09333,2.125,2.17,2.21667,2.265,2.31833,2.37667,2.43,2.485,2.545,2.61
2004-06-04,2.06667,2.09333,2.13,2.17667,2.22667,2.27833,2.33333,2.39167,2.45,2.50667,2.56667,2.62833
2004-06-07,2.06833,2.10333,2.15167,2.21167,2.265,2.32333,2.38833,2.455,2.525,2.59333,2.65833,2.72667
2004-06-08,2.07,2.10667,2.15667,2.21833,2.275,2.34167,2.40833,2.47833,2.55,2.62,2.68833,2.75833
2004-06-09,2.06667,2.1,2.145,2.20333,2.25833,2.32,2.385,2.45167,2.525,2.59333,2.66167,2.73333
2004-06-10,2.065,2.10167,2.14667,2.20667,2.26,2.325,2.39667,2.47,2.545,2.61333,2.685,2.76333
2004-06-11,2.06167,2.1,2.15167,2.21667,2.27667,2.345,2.41833,2.49,2.56833,2.64167,2.71833,2.795
2004-06-14,2.06667,2.10667,2.16333,2.23333,2.295,2.37167,2.45167,2.53333,2.62333,2.70333,2.77833,2.85667
2004-06-15,2.07,2.11,2.18167,2.25,2.31333,2.385,2.46833,2.54667,2.63667,2.715,2.795,2.87333
2004-06-16,2.06833,2.10667,2.17167,2.23833,2.295,2.35833,2.42833,2.50167,2.58167,2.66167,2.74167,2.825
2004-06-17,2.06833,2.10833,2.17167,2.23667,2.29667,2.35833,2.425,2.50167,2.58333,2.66667,2.74833,2.82667
2004-06-18,2.075,2.10667,2.17,2.23333,2.29333,2.355,2.425,2.51167,2.59,2.67,2.74833,2.83333
2004-06-21,2.07667,2.10667,2.17,2.23667,2.3,2.36167,2.43333,2.52167,2.605,2.68,2.75667,2.83333
2004-06-22,2.075,2.10667,2.17167,2.23667,2.3,2.36333,2.43833,2.51833,2.6,2.67667,2.75167,2.83167
2004-06-23,2.07333,2.10667,2.175,2.23833,2.30167,2.36333,2.43167,2.51167,2.59167,2.67333,2.75,2.83
2004-06-24,2.06833,2.10333,2.16833,2.23333,2.295,2.35667,2.42667,2.50667,2.58333,2.665,2.74333,2.82833
2004-06-25,2.06833,2.10833,2.16667,2.22667,2.28333,2.34333,2.41833,2.49,2.56167,2.64333,2.72667,2.805
2004-06-28,2.06667,2.10333,2.16333,2.21833,2.26833,2.31167,2.38667,2.45833,2.52667,2.61167,2.685,2.76
2004-06-29,2.065,2.10333,2.15833,2.22,2.27333,2.32667,2.39833,2.47333,2.55167,2.63167,2.70833,2.79667
2004-06-30,2.065,2.10333,2.155,2.215,2.27,2.33167,2.405,2.4775,2.55667,2.635,2.71333,2.79833
2004-07-01,2.06667,2.095,2.13833,2.195,2.25,2.31167,2.37667,2.445,2.51333,2.59,2.66833,2.75
2004-07-02,2.065,2.09333,2.13833,2.19167,2.25167,2.31333,2.37833,2.44667,2.51667,2.59,2.67,2.74667
2004-07-05,2.06,2.08667,2.12,2.165,2.215,2.27,2.32833,2.39,2.45,2.51833,2.59167,2.665
2004-07-06,2.06167,2.08667,2.115,2.16167,2.215,2.26833,2.32333,2.385,2.44833,2.51667,2.59,2.66333
2004-07-07,2.06,2.09167,2.12,2.16333,2.215,2.26667,2.32667,2.38667,2.445,2.51,2.58167,2.65167
2004-07-08,2.06167,2.09,2.12167,2.16333,2.21333,2.26333,2.32333,2.38333,2.44333,2.51,2.57833,2.645
2004-07-09,2.06,2.09,2.12,2.16167,2.21,2.26,2.32,2.38,2.44167,2.505,2.57333,2.63833
2004-07-12,2.06167,2.09,2.12333,2.16833,2.22667,2.27833,2.33333,2.38833,2.44667,2.51,2.57333,2.645
2004-07-13,2.06083,2.09167,2.13083,2.185,2.245,2.31,2.37,2.42833,2.49333,2.55667,2.62333,2.68667
2004-07-14,2.06083,2.09333,2.13667,2.19167,2.25333,2.325,2.38833,2.45,2.51167,2.57333,2.64167,2.70833
2004-07-15,2.0675,2.10167,2.14833,2.20833,2.275,2.34667,2.41,2.47833,2.545,2.61,2.68,2.75333
2004-07-16,2.07533,2.10767,2.15467,2.22,2.29,2.36083,2.42667,2.49667,2.565,2.63,2.7,2.765
2004-07-19,2.07167,2.10167,2.15333,2.21167,2.28,2.35167,2.40833,2.46667,2.525,2.58833,2.65333,2.72333
2004-07-20,2.07083,2.10333,2.15667,2.22167,2.29,2.36,2.41833,2.48,2.54083,2.6,2.66833,2.73417
2004-07-21,2.065,2.1,2.16,2.23,2.3,2.37667,2.44,2.50333,2.565,2.62833,2.69167,2.75833
2004-07-22,2.06333,2.09917,2.16,2.23167,2.30167,2.38,2.44167,2.50383,2.56917,2.63667,2.69833,2.765
2004-07-23,2.06167,2.1,2.16,2.23667,2.30667,2.38333,2.44333,2.505,2.57333,2.63667,2.70333,2.76833
2004-07-26,2.06167,2.09833,2.15833,2.235,2.30833,2.375,2.43833,2.50333,2.57167,2.63667,2.7,2.76667
2004-07-27,2.06,2.1,2.16333,2.24,2.31333,2.38667,2.45167,2.51833,2.585,2.655,2.72,2.78667
2004-07-28,2.06333,2.105,2.16833,2.24667,2.32333,2.40167,2.47167,2.53833,2.60667,2.67667,2.75,2.82167
2004-07-29,2.06333,2.11333,2.17333,2.25167,2.32833,2.40667,2.47667,2.545,2.615,2.68333,2.755,2.82667
2004-07-30,2.06167,2.115,2.17833,2.25333,2.33167,2.40833,2.47333,2.54,2.60833,2.675,2.74333,2.81333
2004-08-02,2.065,2.11667,2.17167,2.24833,2.32333,2.39667,2.455,2.515,2.57333,2.63833,2.70333,2.77
2004-08-03,2.06,2.11333,2.17167,2.25333,2.32667,2.395,2.455,2.51167,2.57667,2.64,2.7,2.77333
2004-08-04,2.05833,2.105,2.15667,2.225,2.28667,2.34833,2.40333,2.46,2.515,2.58,2.64667,2.715
2004-08-05,2.06,2.10667,2.15833,2.23,2.29333,2.355,2.41167,2.465,2.51833,2.58167,2.645,2.71833
2004-08-06,2.05833,2.10333,2.15833,2.225,2.28667,2.34333,2.40333,2.46,2.51833,2.58,2.64333,2.71
2004-08-09,2.05667,2.09333,2.125,2.16333,2.20333,2.24667,2.28333,2.325,2.36333,2.42167,2.47833,2.54
2004-08-10,2.05667,2.09333,2.125,2.16667,2.21333,2.25833,2.3,2.34333,2.38667,2.43833,2.49333,2.55667
2004-08-11,2.06,2.09833,2.13833,2.18333,2.23333,2.29167,2.33833,2.38833,2.44167,2.49667,2.555,2.62
2004-08-12,2.05833,2.10167,2.14167,2.19,2.24167,2.29333,2.34167,2.38833,2.44167,2.49833,2.555,2.62
2004-08-13,2.06,2.10167,2.145,2.19333,2.24333,2.29667,2.345,2.39,2.44,2.495,2.55,2.61667
2004-08-16,2.06,2.10333,2.15667,2.20667,2.25667,2.31,2.35667,2.405,2.45667,2.50833,2.56667,2.62667
2004-08-17,2.06333,2.115,2.17167,2.23333,2.29667,2.35667,2.405,2.45167,2.5,2.55833,2.61833,2.67833
2004-08-18,2.06333,2.11833,2.17833,2.235,2.29333,2.34833,2.39667,2.44333,2.49,2.54167,2.59333,2.645
2004-08-19,2.06667,2.12167,2.18167,2.245,2.30667,2.36,2.41,2.46167,2.51167,2.56333,2.615,2.67
2004-08-20,2.065,2.11667,2.17333,2.23167,2.28,2.335,2.38333,2.43167,2.48333,2.53833,2.59167,2.64333
2004-08-23,2.065,2.12167,2.17833,2.23333,2.28333,2.345,2.395,2.44833,2.49667,2.54833,2.6,2.65167
2004-08-24,2.07,2.12667,2.18333,2.24667,2.305,2.37333,2.42333,2.47333,2.52167,2.57833,2.63167,2.685
2004-08-25,2.10667,2.16833,2.235,2.3,2.36833,2.44,2.49167,2.545,2.59833,2.65,2.7,2.75
2004-08-26,2.12333,2.2,2.265,2.33333,2.40167,2.46833,2.525,2.575,2.62667,2.685,2.73833,2.79167
2004-08-27,2.145,2.20833,2.27667,2.34667,2.41333,2.48167,2.53333,2.585,2.63667,2.69333,2.745,2.80167
2004-08-31,2.16333,2.23833,2.32,2.38333,2.44667,2.51,2.565,2.61667,2.66667,2.71167,2.76167,2.81167
2004-09-01,2.16667,2.22833,2.31,2.36833,2.42833,2.49,2.54167,2.58833,2.635,2.67833,2.72333,2.76667
2004-09-02,2.18833,2.24667,2.33167,2.39667,2.46,2.52167,2.56667,2.61667,2.66333,2.70833,2.75333,2.80167
2004-09-03,2.21333,2.28167,2.36333,2.43333,2.5,2.56,2.605,2.65333,2.70333,2.75167,2.8,2.84833
2004-09-06,2.25667,2.33667,2.41,2.485,2.56333,2.63167,2.69,2.74333,2.8,2.85167,2.90833,2.965
2004-09-07,2.26667,2.34333,2.41667,2.49167,2.56333,2.63333,2.69167,2.75,2.80833,2.86,2.91167,2.97
2004-09-08,2.275,2.35167,2.42333,2.49833,2.56833,2.64,2.70167,2.76333,2.82167,2.87333,2.92667,2.98667
2004-09-09,2.28333,2.36833,2.43667,2.505,2.575,2.64333,2.7,2.75833,2.81667,2.87,2.925,2.97833
2004-09-10,2.28167,2.37167,2.44,2.50667,2.57333,2.645,2.7,2.76,2.815,2.86833,2.92667,2.98
2004-09-13,2.28167,2.36833,2.43667,2.49833,2.56,2.61833,2.675,2.72833,2.78333,2.82833,2.88,2.92833
2004-09-14,2.28,2.36667,2.435,2.5,2.56667,2.62667,2.67833,2.72667,2.77333,2.825,2.87333,2.915
2004-09-15,2.28333,2.37167,2.44,2.50667,2.57,2.63,2.68333,2.73333,2.77667,2.82667,2.87667,2.91833
2004-09-16,2.295,2.39167,2.45667,2.515,2.58167,2.64167,2.695,2.74333,2.79167,2.84333,2.895,2.94667
2004-09-17,2.295,2.39333,2.455,2.515,2.57833,2.63667,2.68,2.72667,2.775,2.82333,2.87167,2.91667
2004-09-20,2.295,2.39333,2.45667,2.50833,2.56833,2.62167,2.665,2.70833,2.75333,2.8,2.845,2.88833
2004-09-21,2.30167,2.41,2.47,2.52,2.57833,2.62833,2.66833,2.71667,2.76333,2.80833,2.85333,2.895
2004-09-22,2.31,2.44,2.49,2.54667,2.60833,2.665,2.715,2.76667,2.82,2.86167,2.91,2.95333
2004-09-23,2.31167,2.44167,2.49333,2.55333,2.61167,2.66833,2.71667,2.76667,2.81833,2.86,2.905,2.95
2004-09-24,2.32167,2.45,2.51333,2.57167,2.63167,2.69167,2.74167,2.79167,2.84333,2.88667,2.935,2.98167
2004-09-27,2.32,2.455,2.52,2.58167,2.64167,2.70333,2.75333,2.80333,2.855,2.9,2.94667,2.99167
2004-09-28,2.33333,2.45833,2.52333,2.585,2.64667,2.70833,2.75833,2.80667,2.855,2.89833,2.94167,2.98833
2004-09-29,2.35,2.46,2.53333,2.59,2.645,2.70333,2.75333,2.80167,2.84667,2.89,2.93167,2.97333
2004-09-30,2.37333,2.46833,2.545,2.60333,2.66,2.72333,2.77167,2.82333,2.87167,2.91167,2.95667,3.00167
2004-10-01,2.38667,2.47167,2.55667,2.61167,2.66833,2.72333,2.77167,2.82167,2.87167,2.91167,2.95333,3
2004-10-04,2.39,2.47667,2.56333,2.62333,2.67833,2.745,2.795,2.84333,2.88667,2.93,2.97333,3.03
2004-10-05,2.41167,2.47667,2.57,2.62833,2.68333,2.74833,2.79833,2.84667,2.89,2.93833,2.985,3.03833
2004-10-06,2.44833,2.495,2.57833,2.63333,2.68833,2.75,2.79667,2.84667,2.89667,2.94,2.985,3.035
2004-10-07,2.49,2.52833,2.60167,2.655,2.71333,2.775,2.82,2.86667,2.92167,2.95833,3.00167,3.05667
2004-10-08,2.49667,2.53667,2.60833,2.66,2.71833,2.77667,2.82167,2.87,2.92,2.96167,3.00667,3.06
2004-10-11,2.51667,2.545,2.60333,2.66,2.715,2.77333,2.81167,2.855,2.89667,2.93667,2.98,3.02667
2004-10-12,2.515,2.54667,2.605,2.65833,2.71,2.76833,2.80833,2.85,2.89333,2.935,2.97667,3.02
2004-10-13,2.51833,2.55667,2.60333,2.65833,2.70333,2.75333,2.79833,2.84,2.875,2.91333,2.95333,2.99167
2004-10-14,2.52333,2.55667,2.60833,2.655,2.70167,2.74333,2.785,2.82,2.86,2.895,2.92667,2.965
2004-10-15,2.52833,2.55667,2.60667,2.64833,2.69,2.73167,2.76333,2.79667,2.835,2.86333,2.89833,2.93833
2004-10-18,2.53,2.56,2.62,2.65833,2.7,2.74167,2.78,2.81333,2.84833,2.87833,2.91167,2.95
2004-10-19,2.52667,2.56333,2.62,2.66,2.70333,2.745,2.78,2.815,2.85,2.88333,2.91667,2.95167
2004-10-20,2.54,2.57167,2.625,2.67,2.71167,2.75667,2.79,2.825,2.86,2.89667,2.935,2.97167
2004-10-21,2.54333,2.57833,2.63,2.66667,2.70167,2.73167,2.76667,2.80333,2.83833,2.87167,2.90833,2.945
2004-10-22,2.55,2.58,2.64333,2.67667,2.71,2.74167,2.77333,2.81,2.84667,2.88,2.91333,2.95167
2004-10-25,2.55333,2.58,2.64833,2.68,2.71167,2.74333,2.77333,2.80167,2.83333,2.86333,2.89667,2.92833
2004-10-26,2.57333,2.585,2.65,2.68,2.71333,2.74167,2.76833,2.795,2.82333,2.85333,2.885,2.92333
2004-10-27,2.57833,2.59333,2.66167,2.695,2.72833,2.765,2.78667,2.81333,2.84,2.87167,2.90333,2.94167
2004-10-28,2.585,2.63333,2.69667,2.72667,2.75333,2.79,2.82167,2.85667,2.89,2.925,2.955,2.99
2004-10-29,2.57833,2.64167,2.7,2.73833,2.775,2.81167,2.845,2.875,2.91167,2.945,2.97667,3.01
2004-11-01,2.57667,2.65,2.70167,2.745,2.785,2.82667,2.85833,2.89333,2.925,2.96,2.995,3.03167
2004-11-02,2.57833,2.66,2.715,2.76,2.80667,2.85167,2.88167,2.91667,2.95,2.98667,3.02167,3.05833
2004-11-03,2.575,2.665,2.72333,2.77667,2.825,2.87833,2.915,2.95167,2.98833,3.02333,3.055,3.09
2004-11-04,2.57167,2.675,2.73333,2.78167,2.83,2.88,2.91167,2.94833,2.98333,3.01333,3.04667,3.08333
2004-11-05,2.57167,2.67667,2.73667,2.78333,2.835,2.885,2.92,2.95333,2.98833,3.02333,3.05833,3.08833
2004-11-08,2.58167,2.68167,2.76,2.82167,2.87833,2.94167,2.98333,3.02333,3.06667,3.1,3.13667,3.17
2004-11-09,2.58333,2.68,2.76,2.81667,2.875,2.93833,2.97833,3.02,3.06167,3.095,3.13,3.165
2004-11-10,2.58333,2.68667,2.765,2.82167,2.88,2.94167,2.98,3.02,3.06167,3.1,3.13667,3.17333
2004-11-11,2.59333,2.69,2.76167,2.82,2.875,2.93833,2.97833,3.01667,3.06,3.09667,3.13333,3.16833
2004-11-12,2.59167,2.69333,2.765,2.81833,2.87333,2.935,2.97833,3.01833,3.06167,3.09667,3.13167,3.165
2004-11-15,2.59167,2.69333,2.76,2.81167,2.86167,2.91333,2.95333,2.99333,3.03333,3.06667,3.1,3.13333
2004-11-16,2.6,2.69833,2.76,2.81,2.86,2.91167,2.95,2.99,3.03,3.06833,3.10167,3.13333
2004-11-17,2.61,2.705,2.765,2.81833,2.86833,2.92333,2.96,3.00167,3.045,3.08333,3.11833,3.15167
2004-11-18,2.60667,2.705,2.75667,2.79333,2.835,2.88,2.91,2.94167,2.97333,3.005,3.03833,3.07167
2004-11-19,2.61333,2.705,2.76,2.8,2.84,2.88,2.91167,2.94667,2.98,3.01,3.04333,3.075
2004-11-22,2.63333,2.71167,2.765,2.80333,2.83833,2.88,2.91667,2.95333,2.98833,3.02,3.05333,3.08333
2004-11-23,2.65,2.73,2.77667,2.81167,2.845,2.88667,2.91833,2.94833,2.98667,3.01667,3.05167,3.09
2004-11-24,2.66,2.73667,2.775,2.805,2.835,2.865,2.89667,2.93,2.96333,2.99333,3.02833,3.06
2004-11-25,2.62167,2.66667,2.69,2.715,2.72833,2.75167,2.78667,2.82167,2.85333,2.88667,2.92333,2.96167
2004-11-26,2.61,2.66,2.68333,2.70167,2.71,2.73333,2.75667,2.78167,2.805,2.83667,2.87333,2.905
2004-11-29,2.61667,2.65833,2.68167,2.7,2.71667,2.73167,2.75667,2.78333,2.80833,2.84,2.87333,2.905
2004-11-30,2.645,2.67333,2.695,2.71167,2.72833,2.74667,2.77,2.795,2.82333,2.85167,2.88,2.91167
2004-12-01,2.64,2.65,2.66167,2.675,2.68667,2.70333,2.72667,2.74833,2.76883,2.79167,2.81667,2.845
2004-12-02,2.645,2.655,2.66667,2.68,2.69167,2.70333,2.72333,2.74667,2.77333,2.79833,2.82333,2.85167
2004-12-03,2.655,2.67333,2.685,2.7,2.71167,2.725,2.74667,2.76833,2.79333,2.82,2.845,2.87167
2004-12-06,2.64,2.645,2.64833,2.65667,2.66167,2.66833,2.68167,2.69667,2.71333,2.73333,2.755,2.78
2004-12-07,2.63833,2.64833,2.66,2.67,2.67667,2.68667,2.69667,2.71167,2.73,2.75,2.77,2.79167
2004-12-08,2.62667,2.64,2.65,2.65333,2.65667,2.66333,2.67333,2.68333,2.695,2.71167,2.73333,2.755
2004-12-09,2.625,2.64167,2.65833,2.65833,2.66333,2.67167,2.68,2.68667,2.69667,2.71833,2.73833,2.75833
2004-12-10,2.62667,2.64833,2.665,2.67167,2.67833,2.68833,2.69667,2.71,2.72167,2.74,2.76,2.78
2004-12-13,2.62,2.64,2.66167,2.67,2.68,2.69167,2.7,2.71,2.725,2.745,2.76833,2.78833
2004-12-14,2.62,2.64333,2.66,2.67,2.68167,2.69167,2.7,2.71167,2.73,2.75,2.77167,2.79
2004-12-15,2.62167,2.63667,2.65333,2.66,2.66917,2.67667,2.685,2.69333,2.70333,2.72167,2.74333,2.76333
2004-12-16,2.62167,2.63667,2.655,2.66333,2.66917,2.675,2.68333,2.69333,2.70333,2.72167,2.74,2.76
2004-12-17,2.62,2.63167,2.65167,2.66167,2.67167,2.67833,2.69,2.70167,2.71333,2.73,2.75,2.77167
2004-12-20,2.625,2.635,2.655,2.67,2.68333,2.69833,2.71167,2.73,2.75,2.775,2.795,2.82333
2004-12-21,2.63,2.64167,2.65667,2.67333,2.68667,2.7,2.715,2.73,2.74667,2.77,2.795,2.82833
2004-12-22,2.62833,2.64,2.65667,2.675,2.69,2.70667,2.71833,2.73333,2.75167,2.775,2.8,2.825
2004-12-23,2.62667,2.64167,2.655,2.67333,2.68667,2.70333,2.71667,2.73333,2.75167,2.77667,2.805,2.835
2004-12-24,2.62833,2.64,2.65,2.665,2.68,2.69667,2.71333,2.73333,2.75,2.77333,2.80333,2.82833
2004-12-29,2.61833,2.635,2.65167,2.66833,2.68333,2.70167,2.71833,2.735,2.75333,2.77833,2.80167,2.83
2004-12-30,2.61333,2.635,2.65333,2.66833,2.68,2.70167,2.71667,2.73167,2.75167,2.77667,2.80333,2.83333
2004-12-31,2.615,2.63167,2.65,2.665,2.68,2.7,2.71333,2.72833,2.74333,2.77167,2.8,2.82333
2005-01-04,2.605,2.62333,2.64333,2.66,2.67833,2.69833,2.715,2.72833,2.7425,2.7675,2.79667,2.825
2005-01-05,2.6,2.62167,2.64417,2.66333,2.68333,2.705,2.72417,2.74333,2.765,2.79167,2.82333,2.85167
2005-01-06,2.59333,2.62,2.645,2.665,2.6825,2.7,2.72167,2.74333,2.76333,2.79167,2.82333,2.85
2005-01-07,2.59,2.61833,2.64167,2.66,2.6775,2.695,2.71333,2.73167,2.75167,2.78,2.81167,2.84167
2005-01-10,2.58667,2.615,2.63667,2.66333,2.68833,2.71333,2.73833,2.77,2.79667,2.82833,2.86,2.895
2005-01-11,2.585,2.61667,2.63667,2.66667,2.69167,2.71833,2.74667,2.78167,2.81333,2.84333,2.87667,2.91333
2005-01-12,2.585,2.61333,2.635,2.66667,2.69333,2.72167,2.75167,2.78167,2.81667,2.84833,2.87833,2.91333
2005-01-13,2.58167,2.60833,2.63333,2.65833,2.68667,2.71667,2.74333,2.77333,2.80333,2.83167,2.86333,2.89833
2005-01-14,2.57833,2.60667,2.62667,2.65167,2.675,2.695,2.72,2.74833,2.77667,2.80333,2.83333,2.86167
2005-01-17,2.57833,2.60667,2.625,2.65,2.675,2.695,2.72167,2.74667,2.77333,2.8,2.83167,2.86
2005-01-18,2.58,2.605,2.625,2.645,2.67,2.68833,2.71333,2.74,2.76833,2.79667,2.82667,2.85667
